material,hs6,crm_listed_since,source
Antimony,261710,2011,EU CRM 2011
Antimony,810610,2011,EU CRM 2011
Antimony,810640,2011,EU CRM 2011
Baryte,251110,2023,EU CRM 2023
Beryllium,811211,2017,EU CRM 2017
Bismuth,810620,2023,USGS 2022
Borates,252810,2023,EU CRM 2023
Cobalt,260500,2020,EU CRM 2020
Cobalt,810520,2020,EU CRM 2020
Coking Coal,270112,2023,EU CRM 2023
Feldspar,252910,2023,EU CRM 2023
Fluorspar,252190,2014,EU CRM 2014
Germanium,284961,2014,EU CRM 2014
Germanium,284969,2014,EU CRM 2014
Hafnium,810730,2023,EU CRM 2023
Helium,280490,2023,EU CRM 2023
Helium,280429,2023,EU CRM 2023
Indium,811292,2011,EU CRM 2011
Indium,811291,2011,EU CRM 2011
Lithium,280720,2020,EU CRM 2020
Lithium,284369,2020,EU CRM 2020
Lithium,284391,2020,EU CRM 2020
Lithium batteries,850650,2020,EU CRM 2020
Lithium ion batteries,850760,2020,EU CRM 2020
Cobalt battery,282200,2020,EU CRM 2020
Manganese,260200,2023,USGS 2022
Manganese,282220,2023,USGS 2022
Natural Graphite,250410,2011,EU CRM 2011
Natural Rubber,400110,2023,EU CRM 2023
Nickel,260400,2023,EU CRM 2023
Nickel,750210,2023,EU CRM 2023
Niobium,261590,2014,EU CRM 2014
Phosphate Rock,251010,2014,EU CRM 2014
Phosphate Rock,251020,2014,EU CRM 2014
Platinum Group Metals,711011,2011,EU CRM 2011
Platinum Group Metals,711021,2011,EU CRM 2011
Platinum Group Metals,711031,2011,EU CRM 2011
Rare Earth Elements,280530,2011,EU CRM 2011
Scandium,284190,2023,EU CRM 2023
Silicon Metal,280469,2017,EU CRM 2017
Silicon Metal,280470,2017,EU CRM 2017
Strontium,284190,2023,EU CRM 2023
Tantalum,261590,2011,EU CRM 2011
Tin,260900,2023,USGS 2022
Tin,800110,2023,USGS 2022
Titanium,810811,2014,EU CRM 2014
Tungsten,261110,2011,EU CRM 2011
Tungsten,810110,2011,EU CRM 2011
Vanadium,261590,2014,EU CRM 2014
Vanadium,282530,2014,EU CRM 2014
Chromium,261000,2023,USGS 2022
Chromium,281990,2023,USGS 2022
Arsenic,280480,2023,USGS 2022
Cesium,284190,2023,USGS 2022
Zinc,260800,2023,EU CRM 2023
