hs6,category,essentiality_tier,crm_listed_since
260111,iron_ore,standard,
260200,manganese_ores,important,
260300,copper_ores,important,
260400,nickel_ores,critical,2023
260500,cobalt_ores,critical,2020
260600,aluminium_ores,important,
260700,lead_ores,standard,
260800,zinc_ores,standard,
260900,tin_ores,critical,2023
261000,chromium_ores,critical,2023
261110,tungsten_ores,critical,2023
261210,titanium_ores,critical,2023
261390,molybdenum_ores,important,
261490,titanium_other,critical,2023
261510,zirconium_ores,critical,2023
261610,silver_ores,standard,
261690,precious_metal_ores,standard,
261710,antimony_ores,critical,2011
261800,slag_and_ash,standard,
261900,other_slag,standard,
280530,rare_earth_metals,critical,2011
280540,mercury,important,
280550,other_alkali_metals,standard,
280610,chlorine,important,
280720,lithium_oxide,critical,2023
284190,other_silicates,standard,
284369,lithium_carbonate,critical,2023
284391,lithium_hydroxide,critical,2023
284630,europium_compounds,critical,2023
284961,germanium_oxides,critical,2023
811291,unwrought_indium,critical,2023
811292,indium_other,critical,2023
750110,nickel_mattes,critical,2023
750120,nickel_oxide_sinters,critical,2023
750210,unwrought_nickel,critical,2023
750220,nickel_alloys,critical,2023
260811,zinc_concentrates,standard,
280469,silicon_other,critical,2023
280470,silicon_for_electronics,critical,2023
