hs6,description,category
010110,"Horses, asses, mules and hinnies: live, pure-bred breeding animals",food
010111,"Horses: live, pure-bred breeding animals",food
010119,"Horses: live, other than pure-bred breeding animals",food
010120,"Asses, mules and hinnies: live",food
010121,"Horses: live, pure-bred breeding animals",food
010129,"Horses: live, other than pure-bred breeding animals",food
010130,Asses: live,food
010190,Mules and hinnies: live,food
010210,"Bovine animals: live, pure-bred breeding animals",food
010221,"Cattle: live, pure-bred breeding animals",food
010229,"Cattle: live, other than pure-bred breeding animals",food
010231,"Buffalo: live, pure-bred breeding animals",food
010239,"Buffalo: live, other than pure-bred breeding animals",food
010290,"Bovine animals: live, other than cattle and buffalo",food
010310,"Swine: live, pure-bred breeding animals",food
010391,"Swine: live, other than pure-bred breeding animals, weighing less than 50kg",food
010392,"Swine: live, other than pure-bred breeding animals, weighing 50kg or more",food
010410,Sheep: live,food
010420,Goats: live,food
010511,"Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",food
010512,"Poultry: live, turkeys, weighing not more than 185g",food
010513,"Poultry: live, ducks, weighing not more than 185g",food
010514,"Poultry: live, geese, weighing not more than 185g",food
010515,"Poultry: live, guinea fowls, weighing not more than 185g",food
010519,"Poultry: live, weighing not more than 185g, ducks, geese and guinea fowls",food
010591,"Poultry: live, fowls of the species gallus domesticus, weighing more than 185g",food
010592,"Poultry: live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus",food
010593,"Poultry: live, weighing over 2000g, fowls of the species gallus domesticus",food
010594,"Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",food
010599,"Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",food
010600,"Animals: live, n.e.s. in chapter 1",food
010611,"Mammals: live, primates",food
010612,"Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",food
010613,"Mammals: live, camels and other camelids (Camelidae)",food
010614,"Mammals: live, rabbits and hares",food
